201.1.14.2,202.2.14.2,49175,20350,69800000.0,83920000.0,14120000.0,True
201.1.6.2,202.2.6.2,49176,20358,71400000.0,73569000.0,2169000.0,True
201.1.12.2,202.2.12.2,49176,20364,72600000.0,87585000.0,14985000.0,True
201.1.14.2,202.2.14.2,49176,20366,73000000.0,74095000.0,1095000.0,True
201.1.6.2,202.2.6.2,49177,20374,74600000.0,100641000.0,26041000.0,True
201.1.12.2,202.2.12.2,49177,20380,75800000.0,77596000.0,1796000.0,True
201.1.14.2,202.2.14.2,49177,20382,76200000.0,103159000.0,26959000.0,True
201.1.6.2,202.2.6.2,49178,20390,77800000.0,91726000.0,13926000.0,True
201.1.12.2,202.2.12.2,49178,20396,79000000.0,94201000.0,15201000.0,True
201.1.14.2,202.2.14.2,49178,20398,79400000.0,93168000.0,13768000.0,True
201.1.6.2,202.2.6.2,49179,20406,81000000.0,95508000.0,14508000.0,True
201.1.12.2,202.2.12.2,49179,20412,82200000.0,83798000.0,1598000.0,True
201.1.14.2,202.2.14.2,49179,20414,82600000.0,83927000.0,1327000.0,True
201.1.6.2,202.2.6.2,49180,20422,84200000.0,99034000.0,14834000.0,True
201.1.12.2,202.2.12.2,49180,20428,85400000.0,85400000.0,-1.0,False
201.1.14.2,202.2.14.2,49180,20430,85800000.0,89017000.0,3217000.0,True
201.1.6.2,202.2.6.2,49181,20438,87400000.0,101483000.0,14083000.0,True
201.1.12.2,202.2.12.2,49181,20444,88600000.0,103002000.0,14402000.0,True
201.1.14.2,202.2.14.2,49181,20446,89000000.0,127158000.0,38158000.0,True
201.1.6.2,202.2.6.2,49182,20454,90600000.0,92180000.0,1580000.0,True
201.1.12.2,202.2.12.2,49182,20460,91800000.0,107186000.0,15386000.0,True
201.1.14.2,202.2.14.2,49182,20462,92200000.0,108576000.0,16376000.0,True
201.1.6.2,202.2.6.2,49183,20470,93800000.0,96580000.0,2780000.0,True
201.1.12.2,202.2.12.2,49183,20476,95000000.0,96812000.0,1812000.0,True
201.1.14.2,202.2.14.2,49183,20478,95401000.0,96541000.0,1140000.0,True
201.1.6.2,202.2.6.2,49184,20486,97000000.0,123464000.0,26464000.0,True
201.1.12.2,202.2.12.2,49184,20492,98200000.0,99635000.0,1435000.0,True
201.1.14.2,202.2.14.2,49184,20494,98600000.0,100514000.0,1914000.0,True
201.1.6.2,202.2.6.2,49185,20502,100200000.0,101965000.0,1765000.0,True
201.1.12.2,202.2.12.2,49185,20508,101400000.0,115880000.0,14480000.0,True
201.1.14.2,202.2.14.2,49185,20510,101800000.0,104610000.0,2810000.0,True
201.1.6.2,202.2.6.2,49186,20518,103400000.0,117031000.0,13631000.0,True
201.1.12.2,202.2.12.2,49186,20524,104600000.0,108073000.0,3473000.0,True
201.1.14.2,202.2.14.2,49186,20526,105000000.0,106417000.0,1417000.0,True
201.1.6.2,202.2.6.2,49187,20534,106600000.0,107700000.0,1100000.0,True
201.1.12.2,202.2.12.2,49187,20540,107800000.0,109866000.0,2066000.0,True
201.1.14.2,202.2.14.2,49187,20542,108200000.0,109453000.0,1253000.0,True
201.1.6.2,202.2.6.2,49188,20550,109800000.0,111681000.0,1881000.0,True
201.1.12.2,202.2.12.2,49188,20556,111000000.0,111000000.0,-1.0,False
201.1.14.2,202.2.14.2,49188,20558,111400000.0,149987000.0,38587000.0,True
201.1.6.2,202.2.6.2,49189,20566,113000000.0,114152000.0,1152000.0,True
201.1.12.2,202.2.12.2,49189,20572,114200000.0,202396000.0,88196000.0,True
201.1.14.2,202.2.14.2,49189,20574,114600000.0,116175000.0,1575000.0,True
201.1.6.2,202.2.6.2,49190,20582,116200000.0,118578000.0,2378000.0,True
201.1.12.2,202.2.12.2,49190,20588,117400000.0,498378000.0,380978000.0,True
201.1.14.2,202.2.14.2,49190,20590,117800000.0,144257000.0,26457000.0,True
201.1.6.2,202.2.6.2,49191,20598,119400000.0,145705000.0,26305000.0,True
201.1.12.2,202.2.12.2,49191,20604,120600000.0,122176000.0,1576000.0,True
201.1.14.2,202.2.14.2,49191,20606,121001000.0,122106000.0,1105000.0,True
201.1.6.2,202.2.6.2,49192,20614,122600000.0,123710000.0,1110000.0,True
201.1.12.2,202.2.12.2,49192,20620,123800000.0,224529000.0,100729000.0,True
201.1.14.2,202.2.14.2,49192,20622,124200000.0,236855000.0,112655000.0,True
201.1.6.2,202.2.6.2,49193,20630,125800000.0,140687000.0,14887000.0,True
201.1.12.2,202.2.12.2,49193,20636,127000000.0,128342000.00000001,1342000.000000015,True
201.1.14.2,202.2.14.2,49193,20638,127400000.00000001,128964000.0,1563999.999999985,True
201.1.6.2,202.2.6.2,49194,20646,129000000.0,130435000.0,1435000.0,True
201.1.12.2,202.2.12.2,49194,20652,130200000.00000001,144744000.0,14543999.999999985,True
201.1.14.2,202.2.14.2,49194,20654,130601000.0,132057000.00000001,1456000.000000015,True
201.1.6.2,202.2.6.2,49195,20662,132200000.00000001,133647999.99999999,1447999.9999999702,True
201.1.12.2,202.2.12.2,49195,20668,133399999.99999999,135438000.0,2038000.000000015,True
201.1.14.2,202.2.14.2,49195,20670,133800000.0,134916000.0,1116000.0,True
201.1.6.2,202.2.6.2,49196,20678,135400000.0,149024000.0,13624000.0,True
201.1.12.2,202.2.12.2,49196,20684,136600000.0,138765000.0,2165000.0,True
201.1.14.2,202.2.14.2,49196,20686,137000000.0,137000000.0,-1.0,False
201.1.6.2,202.2.6.2,49197,20694,138600000.0,176677000.0,38077000.0,True
201.1.12.2,202.2.12.2,49197,20700,139800000.0,154313000.0,14513000.0,True
201.1.14.2,202.2.14.2,49197,20702,140200000.0,167176000.0,26976000.0,True
201.1.6.2,202.2.6.2,49198,20710,141800000.0,144205000.0,2405000.0,True
201.1.12.2,202.2.12.2,49198,20716,143000000.0,144075000.0,1075000.0,True
201.1.14.2,202.2.14.2,49198,20718,143400000.0,144943000.0,1543000.0,True
201.1.6.2,202.2.6.2,49199,20726,145000000.0,146403000.0,1403000.0,True
201.1.12.2,202.2.12.2,49199,20732,146200000.0,160890000.0,14690000.0,True
201.1.14.2,202.2.14.2,49199,20734,146600000.0,147917000.0,1317000.0,True
201.1.6.2,202.2.6.2,49200,20742,148200000.0,187393000.0,39193000.0,True
201.1.12.2,202.2.12.2,49200,20748,149400000.0,150878000.0,1478000.0,True
