201.1.1.2,201.4.1.2,49153,20001,0.0,259999.99999999997,259999.99999999997,True
201.1.1.2,201.4.1.2,49155,20017,320000.0,650000.0,330000.0,True
201.1.1.2,201.4.1.2,49156,20033,640000.0,13428000.0,12788000.0,True
201.1.1.2,201.4.1.2,49157,20049,960000.0,1224000.0,264000.0,True
201.1.1.2,201.4.1.2,49158,20065,1280000.0,1548000.0,268000.0,True
201.1.1.2,201.4.1.2,49159,20081,1600000.0,1865000.0,265000.0,True
201.1.1.2,201.4.1.2,49160,20097,1920000.0,2184000.0,264000.0,True
201.1.1.2,201.4.1.2,49161,20113,2240000.0,2506000.0,266000.0,True
201.1.1.2,201.4.1.2,49162,20129,2560000.0,2824000.0,264000.0,True
201.1.1.2,201.4.1.2,49163,20145,2880000.0,3156000.0,276000.0,True
201.1.1.2,201.4.1.2,49164,20161,3200000.0,3467000.0,267000.0,True
201.1.1.2,201.4.1.2,49165,20177,3520000.0,3787000.0,267000.0,True
201.1.1.2,201.4.1.2,49166,20193,3840000.0,4104000.0,264000.0,True
201.1.1.2,201.4.1.2,49167,20209,4159999.9999999995,4423000.0,263000.00000000047,True
201.1.1.2,201.4.1.2,49168,20225,4480000.0,4747000.0,267000.0,True
201.1.1.2,201.4.1.2,49169,20241,4800000.0,5065000.0,265000.0,True
201.1.1.2,201.4.1.2,49170,20257,5120000.0,5383000.0,263000.0,True
201.1.1.2,201.4.1.2,49171,20273,5440000.0,5704000.0,264000.0,True
201.1.1.2,201.4.1.2,49172,20289,5760000.0,6026000.0,266000.0,True
201.1.1.2,201.4.1.2,49173,20305,6080000.0,6341000.0,261000.0,True
201.1.1.2,201.4.1.2,49174,20321,6400000.0,6664000.0,264000.0,True
201.1.1.2,201.4.1.2,49175,20337,6720000.0,6993000.0,273000.0,True
201.1.1.2,201.4.1.2,49176,20353,7040000.0,7306000.0,266000.0,True
201.1.1.2,201.4.1.2,49177,20369,7360000.0,7627000.0,267000.0,True
201.1.1.2,201.4.1.2,49178,20385,7680000.0,7946000.0,266000.0,True
201.1.1.2,201.4.1.2,49179,20401,8000000.0,8262999.999999999,262999.99999999907,True
201.1.1.2,201.4.1.2,49180,20417,8319999.999999999,8583000.0,263000.00000000093,True
201.1.1.2,201.4.1.2,49181,20433,8640000.0,8921000.0,281000.0,True
201.1.1.2,201.4.1.2,49182,20449,8960000.0,9230000.0,270000.0,True
201.1.1.2,201.4.1.2,49183,20465,9280000.0,9542000.0,262000.0,True
201.1.1.2,201.4.1.2,49184,20481,9600000.0,9873000.0,273000.0,True
201.1.1.2,201.4.1.2,49185,20497,9920000.0,10193000.0,273000.0,True
201.1.1.2,201.4.1.2,49186,20513,10240000.0,10503000.0,263000.0,True
201.1.1.2,201.4.1.2,49187,20529,10560000.0,10824000.0,264000.0,True
201.1.1.2,201.4.1.2,49188,20545,10880000.0,11145000.0,265000.0,True
201.1.1.2,201.4.1.2,49189,20561,11200000.0,11466000.0,266000.0,True
201.1.1.2,201.4.1.2,49190,20577,11520000.0,11788000.0,268000.0,True
201.1.1.2,201.4.1.2,49191,20593,11840000.0,12136000.0,296000.0,True
201.1.1.2,201.4.1.2,49192,20609,12160000.0,12436000.0,276000.0,True
201.1.1.2,201.4.1.2,49193,20625,12480000.0,12744000.0,264000.0,True
201.1.1.2,201.4.1.2,49194,20641,12800000.0,13067000.0,267000.0,True
201.1.1.2,201.4.1.2,49195,20657,13121000.0,13458000.0,337000.0,True
201.1.1.2,201.4.1.2,49196,20673,13440000.0,13742000.0,302000.0,True
201.1.1.2,201.4.1.2,49197,20689,13760000.0,14026000.0,266000.0,True
201.1.1.2,201.4.1.2,49198,20705,14080000.0,14343000.0,263000.0,True
201.1.1.2,201.4.1.2,49199,20721,14400000.0,14664000.0,264000.0,True
201.1.1.2,201.4.1.2,49200,20737,14720000.0,14986000.0,266000.0,True
201.1.1.2,201.4.1.2,49201,20753,15040000.0,15312000.0,272000.0,True
201.1.1.2,201.4.1.2,49202,20769,15360000.0,15639000.0,279000.0,True
201.1.1.2,201.4.1.2,49203,20785,15680000.0,15956000.000000002,276000.00000000186,True
201.1.1.2,201.4.1.2,49204,20801,16000000.0,16261000.000000002,261000.00000000186,True
201.1.1.2,201.4.1.2,49205,20817,16320000.000000002,16589000.0,268999.99999999814,True
201.1.1.2,201.4.1.2,49206,20833,16639999.999999998,16918000.0,278000.00000000186,True
201.1.1.2,201.4.1.2,49207,20849,16960000.0,17225000.0,265000.0,True
201.1.1.2,201.4.1.2,49208,20865,17280000.0,17542000.0,262000.0,True
201.1.1.2,201.4.1.2,49209,20881,17600000.0,17864000.0,264000.0,True
201.1.1.2,201.4.1.2,49210,20897,17920000.0,18194000.0,274000.0,True
201.1.1.2,201.4.1.2,49211,20913,18240000.0,18503000.0,263000.0,True
201.1.1.2,201.4.1.2,49212,20929,18560000.0,18826000.0,266000.0,True
201.1.1.2,201.4.1.2,49213,20945,18880000.0,19144000.0,264000.0,True
201.1.1.2,201.4.1.2,49214,20961,19200000.0,19462000.0,262000.0,True
201.1.1.2,201.4.1.2,49215,20977,19520000.0,19785000.0,265000.0,True
201.1.1.2,201.4.1.2,49216,20993,19840000.0,20102000.0,262000.0,True
201.1.1.2,201.4.1.2,49217,21009,20160000.0,20431000.0,271000.0,True
201.1.1.2,201.4.1.2,49218,21025,20480000.0,20749000.0,269000.0,True
201.1.1.2,201.4.1.2,49219,21041,20800000.0,21063000.0,263000.0,True
201.1.1.2,201.4.1.2,49220,21057,21120000.0,21383000.0,263000.0,True
