[0/2] Re-checking globbed directories...
ninja: no work to do.
+1.11984e+06ns In SlowStart, updated to cwnd 4338 ssthresh 5784
+1.11999e+06ns In SlowStart, updated to cwnd 5784 ssthresh 5784
+1.12014e+06ns In SlowStart, updated to cwnd 4338 ssthresh 5784
+1.12029e+06ns In SlowStart, updated to cwnd 5784 ssthresh 5784
+1.12044e+06ns In SlowStart, updated to cwnd 4338 ssthresh 5784
+1.12059e+06ns In SlowStart, updated to cwnd 5784 ssthresh 5784
+1.12074e+06ns In SlowStart, updated to cwnd 4338 ssthresh 5784
+1.12089e+06ns In SlowStart, updated to cwnd 5784 ssthresh 5784
+1.12104e+06ns In SlowStart, updated to cwnd 4338 ssthresh 5784
+1.12119e+06ns In SlowStart, updated to cwnd 5784 ssthresh 5784
+1.12134e+06ns In SlowStart, updated to cwnd 4338 ssthresh 5784
+1.12149e+06ns In SlowStart, updated to cwnd 5784 ssthresh 5784
+1.12164e+06ns In SlowStart, updated to cwnd 4338 ssthresh 5784
+1.12179e+06ns In SlowStart, updated to cwnd 5784 ssthresh 5784
+1.12194e+06ns In SlowStart, updated to cwnd 4338 ssthresh 5784
+1.12209e+06ns In SlowStart, updated to cwnd 5784 ssthresh 5784
+1.12224e+06ns In SlowStart, updated to cwnd 4338 ssthresh 5784
+1.12239e+06ns In SlowStart, updated to cwnd 5784 ssthresh 5784
+1.12254e+06ns In SlowStart, updated to cwnd 4338 ssthresh 5784
+1.12269e+06ns In SlowStart, updated to cwnd 5784 ssthresh 5784
+1.12284e+06ns In SlowStart, updated to cwnd 4338 ssthresh 5784
+1.12299e+06ns In SlowStart, updated to cwnd 5784 ssthresh 5784
+1.12314e+06ns In SlowStart, updated to cwnd 4338 ssthresh 5784
+1.12329e+06ns In SlowStart, updated to cwnd 5784 ssthresh 5784
+1.12344e+06ns In SlowStart, updated to cwnd 4338 ssthresh 5784
+1.12359e+06ns In SlowStart, updated to cwnd 5784 ssthresh 5784
+1.12374e+06ns In SlowStart, updated to cwnd 4338 ssthresh 5784
+1.12389e+06ns In SlowStart, updated to cwnd 5784 ssthresh 5784
+1.12404e+06ns In SlowStart, updated to cwnd 4338 ssthresh 5784
+1.12419e+06ns In SlowStart, updated to cwnd 5784 ssthresh 5784
+1.12434e+06ns In SlowStart, updated to cwnd 4338 ssthresh 5784
+1.12449e+06ns In SlowStart, updated to cwnd 5784 ssthresh 5784
+1.12464e+06ns In SlowStart, updated to cwnd 4338 ssthresh 5784
+1.12479e+06ns In SlowStart, updated to cwnd 5784 ssthresh 5784
+1.12494e+06ns In SlowStart, updated to cwnd 4338 ssthresh 5784
